법령ID,법령명,소관부처,법령구분,개정횟수,조문건수,타법개정횟수,자체개정횟수,최초개정일,최종개정일
010162,제주특별자치도 설치 및 국제자유도시 조성을 위한 특별법,"행정안전부,국토교통부",법률,15,106,16,2,2025-10-01,2026-06-16
010817,자본시장과 금융투자업에 관한 법률 시행령,금융위원회,대통령령,11,57,2,9,2025-09-23,2026-07-28
004920,조세특례제한법 시행령,"행정안전부,재정경제부",대통령령,10,417,5,5,2025-08-26,2026-05-22
005308,개별소비세법 시행령,재정경제부,대통령령,10,20,3,7,2025-08-29,2026-07-30
001584,조세특례제한법,"행정안전부,재정경제부",법률,9,158,6,3,2025-10-01,2026-06-16
002619,교통ㆍ에너지ㆍ환경세법 시행령,재정경제부,대통령령,9,11,2,7,2025-08-29,2026-07-30
003956,소득세법 시행령,재정경제부,대통령령,8,238,3,5,2025-10-01,2026-05-22
002249,고용보험법 시행령,고용노동부,대통령령,8,30,4,4,2025-08-05,2026-06-30
004175,여객자동차 운수사업법 시행령,국토교통부,대통령령,8,23,4,4,2025-10-21,2026-07-07
002421,관세법 시행령,재정경제부,대통령령,7,114,3,4,2025-08-05,2026-05-08
005077,지방세법 시행령,행정안전부,대통령령,7,45,4,3,2025-08-26,2026-05-29
009641,규제자유특구 및 지역특화발전특구에 관한 규제특례법,중소벤처기업부,법률,7,35,6,1,2025-10-01,2026-06-16
010513,자본시장과 금융투자업에 관한 법률,금융위원회,법률,7,24,4,3,2025-09-16,2026-05-12
007038,대기환경보전법 시행규칙,기후에너지환경부,기후에너지환경부령,6,121,1,5,2025-10-01,2026-07-15
001463,산업집적활성화 및 공장설립에 관한 법률,산업통상부,법률,6,88,6,0,2025-10-01,2026-06-02
014455,지방자치분권 및 균형성장에 관한 특별법,"행정안전부,산업통상부,국토교통부,기획예산처",법률,6,61,6,1,2025-10-01,2026-06-16
014391,전북특별자치도 설치 및 글로벌생명경제도시 조성을 위한 특별법,행정안전부,법률,6,49,5,1,2025-10-01,2026-06-02
005238,초ㆍ중등교육법 시행령,교육부,대통령령,6,38,2,4,2025-09-16,2026-05-26
005612,행정권한의 위임 및 위탁에 관한 규정,행정안전부,대통령령,6,38,4,2,2025-10-01,2026-06-23
007928,자동차관리법 시행규칙,국토교통부,국토교통부령,6,36,1,5,2025-08-14,2026-06-02
001805,식품위생법,식품의약품안전처,법률,6,32,2,4,2025-10-01,2026-06-09
001788,의료법,"질병관리청,보건복지부",법률,6,32,2,4,2025-11-11,2026-06-09
012925,행정안전부와 그 소속기관 직제 시행규칙,행정안전부,행정안전부령,6,28,0,6,2025-08-26,2026-07-21
010697,문화체육관광부와 그 소속기관 직제 시행규칙,문화체육관광부,문화체육관광부령,6,28,1,5,2025-08-28,2026-07-28
010126,방위사업법 시행령,"방위사업청,국방부,산업통상부",대통령령,6,28,2,4,2025-10-01,2026-06-30
011278,지방세특례제한법 시행령,행정안전부,대통령령,6,26,6,1,2025-10-01,2026-05-19
006042,선거관리위원회 공무원 규칙,중앙선거관리위원회,중앙선거관리위원회규칙,6,22,1,5,2025-08-21,2026-05-22
006928,고용노동부와 그 소속기관 직제 시행규칙,고용노동부,고용노동부령,6,19,0,6,2025-08-26,2026-07-21
007223,법무부와 그 소속기관 직제 시행규칙,법무부,법무부령,6,18,0,6,2025-09-23,2026-06-30
007233,법제처 직제 시행규칙,법제처,총리령,6,13,1,5,2025-09-25,2026-06-19
009294,국토의 계획 및 이용에 관한 법률,국토교통부,법률,6,13,5,2,2025-10-01,2026-06-16
001781,국민연금법,보건복지부,법률,6,12,2,4,2025-10-01,2026-05-26
011908,새만금사업 추진 및 지원에 관한 특별법 시행령,국토교통부,대통령령,6,11,6,0,2025-09-23,2026-05-12
008218,조세특례제한법 시행규칙,"행정안전부,재정경제부",재정경제부령,5,151,2,3,2025-10-31,2026-05-22
001773,대기환경보전법,기후에너지환경부,법률,5,145,1,4,2025-10-01,2026-07-07
011712,온실가스 배출권의 할당 및 거래에 관한 법률 시행령,"기후에너지환경부,기획예산처",대통령령,5,96,3,2,2025-10-01,2026-04-28
001771,폐기물관리법,기후에너지환경부,법률,5,85,2,3,2025-10-01,2026-07-07
002652,국가를 당사자로 하는 계약에 관한 법률 시행령,"재정경제부,조달청",대통령령,5,75,3,2,2025-08-05,2026-05-19
002351,산업집적활성화 및 공장설립에 관한 법률 시행령,산업통상부,대통령령,5,71,4,1,2025-10-01,2026-06-23
014255,기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법 시행령,기후에너지환경부,대통령령,5,70,2,3,2025-10-01,2026-05-06
004608,자연환경보전법 시행령,기후에너지환경부,대통령령,5,63,4,1,2025-10-01,2026-06-23
004610,자원의 절약과 재활용촉진에 관한 법률 시행령,기후에너지환경부,대통령령,5,57,2,3,2025-09-23,2026-04-21
014291,강원특별자치도 설치 및 미래산업글로벌도시 조성을 위한 특별법,행정안전부,법률,5,56,4,1,2025-10-01,2026-06-02
014152,기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본법,기후에너지환경부,법률,5,55,3,2,2025-10-01,2026-06-02
006492,관세청과 그 소속기관 직제 시행규칙,관세청,재정경제부령,5,50,0,5,2025-09-23,2026-07-01
011484,원자력안전법 시행령,원자력안전위원회,대통령령,5,46,3,2,2025-09-30,2026-06-23
009708,재난 및 안전관리 기본법 시행령,"소방청,행정안전부,해양경찰청",대통령령,5,44,3,2,2025-09-23,2026-07-21
003325,신에너지 및 재생에너지 개발ㆍ이용ㆍ보급 촉진법 시행령,"기후에너지환경부,산업통상부",대통령령,5,37,3,2,2025-10-01,2026-03-10
